trigger_number,Ep,E_Ep,e_Ep,z,E_z,e_z,Lum,E_Lum,e_Lum
3364,105.1,17.3,12.4,8.91,4.11,6.33,2.54E+53,1.93E+53,5.98E+53
3369,83.7,14,22.7,3.99,1.38,4.66,4.09E+52,2.61E+52,2.06E+53
3370,41.9,31.4,35.8,1.16,0.94,2.41,1.92E+51,1.89E+51,2.77E+52
3403,87.1,34.2,17.1,6.43,4.48,7.31,9.82E+52,9.25E+52,4.55E+53
3407,112.5,52.8,58.7,4.09,2.87,20.06,7.69E+52,7.27E+52,4.27E+54
3408,348.7,6.3,6.3,3.73,0.16,0.17,6.39E+53,6.50E+52,7.30E+52
3415,205.9,6.8,7,2.44,0.15,0.17,1.18E+53,1.70E+52,2.10E+52
3436,193,14.9,15.7,8.85,2.31,3.81,8.48E+53,4.24E+53,1.06E+54
3448,176.1,56.8,72.8,3,1.53,5.2,1.16E+53,9.60E+52,1.11E+54
3458,236.7,7.9,8.2,2.14,0.13,0.14,1.30E+53,1.80E+52,2.20E+52
3480,370.8,9.6,10,2.82,0.15,0.17,4.71E+53,5.90E+52,7.00E+52
3481,395.5,10.1,10.4,1.79,0.08,0.08,2.85E+53,2.90E+52,3.30E+52
3485,113.2,17.7,19.6,10.61,5.02,16.98,4.05E+53,3.12E+53,2.98E+54
